"자치구별(1)","자치구별(2)",구분별(1),구분별(2),구분별(3),2021
"합계","소계",유치원,원아수 (명),소계,69958
"합계","소계",유치원,학급현황,학급수 (학급),3704
"합계","소계",유치원,학급현황,학급당원아수 (명),18.9
"합계","소계",초등학교,학생수 (명),소계,399435
"합계","소계",초등학교,학급현황,학급수 (학급),18396
"합계","소계",초등학교,학급현황,학급당학생수 (명),21.7
"합계","소계",중학교,학생수 (명),소계,209749
"합계","소계",중학교,학급현황,학급수 (학급),8563
"합계","소계",중학교,학급현황,학급당학생수 (명),24.5
"합계","소계",고등학교,학생수 (명),소계,216319
"합계","소계",고등학교,학급현황,학급수 (학급),9194
"합계","소계",고등학교,학급현황,학급당학생수 (명),23.5
"합계","종로구",유치원,원아수 (명),소계,1077
"합계","종로구",유치원,학급현황,학급수 (학급),54
"합계","종로구",유치원,학급현황,학급당원아수 (명),19.9
"합계","종로구",초등학교,학생수 (명),소계,5072
"합계","종로구",초등학교,학급현황,학급수 (학급),267
"합계","종로구",초등학교,학급현황,학급당학생수 (명),19.0
"합계","종로구",중학교,학생수 (명),소계,2773
"합계","종로구",중학교,학급현황,학급수 (학급),133
"합계","종로구",중학교,학급현황,학급당학생수 (명),20.8
"합계","종로구",고등학교,학생수 (명),소계,8067
"합계","종로구",고등학교,학급현황,학급수 (학급),353
"합계","종로구",고등학교,학급현황,학급당학생수 (명),22.9
"합계","중구",유치원,원아수 (명),소계,1002
"합계","중구",유치원,학급현황,학급수 (학급),58
"합계","중구",유치원,학급현황,학급당원아수 (명),17.3
"합계","중구",초등학교,학생수 (명),소계,4808
"합계","중구",초등학교,학급현황,학급수 (학급),239
"합계","중구",초등학교,학급현황,학급당학생수 (명),20.1
"합계","중구",중학교,학생수 (명),소계,1805
"합계","중구",중학교,학급현황,학급수 (학급),109
"합계","중구",중학교,학급현황,학급당학생수 (명),16.6
"합계","중구",고등학교,학생수 (명),소계,6185
"합계","중구",고등학교,학급현황,학급수 (학급),276
"합계","중구",고등학교,학급현황,학급당학생수 (명),22.4
"합계","용산구",유치원,원아수 (명),소계,1351
"합계","용산구",유치원,학급현황,학급수 (학급),62
"합계","용산구",유치원,학급현황,학급당원아수 (명),21.8
"합계","용산구",초등학교,학생수 (명),소계,6656
"합계","용산구",초등학교,학급현황,학급수 (학급),347
"합계","용산구",초등학교,학급현황,학급당학생수 (명),19.2
"합계","용산구",중학교,학생수 (명),소계,3435
"합계","용산구",중학교,학급현황,학급수 (학급),162
"합계","용산구",중학교,학급현황,학급당학생수 (명),21.2
"합계","용산구",고등학교,학생수 (명),소계,5025
"합계","용산구",고등학교,학급현황,학급수 (학급),245
"합계","용산구",고등학교,학급현황,학급당학생수 (명),20.5
"합계","성동구",유치원,원아수 (명),소계,1978
"합계","성동구",유치원,학급현황,학급수 (학급),109
"합계","성동구",유치원,학급현황,학급당원아수 (명),18.1
"합계","성동구",초등학교,학생수 (명),소계,10555
"합계","성동구",초등학교,학급현황,학급수 (학급),550
"합계","성동구",초등학교,학급현황,학급당학생수 (명),19.2
"합계","성동구",중학교,학생수 (명),소계,4855
"합계","성동구",중학교,학급현황,학급수 (학급),212
"합계","성동구",중학교,학급현황,학급당학생수 (명),22.9
"합계","성동구",고등학교,학생수 (명),소계,4044
"합계","성동구",고등학교,학급현황,학급수 (학급),208
"합계","성동구",고등학교,학급현황,학급당학생수 (명),19.4
"합계","광진구",유치원,원아수 (명),소계,2237
"합계","광진구",유치원,학급현황,학급수 (학급),119
"합계","광진구",유치원,학급현황,학급당원아수 (명),18.8
"합계","광진구",초등학교,학생수 (명),소계,13742
"합계","광진구",초등학교,학급현황,학급수 (학급),623
"합계","광진구",초등학교,학급현황,학급당학생수 (명),22.1
"합계","광진구",중학교,학생수 (명),소계,7375
"합계","광진구",중학교,학급현황,학급수 (학급),286
"합계","광진구",중학교,학급현황,학급당학생수 (명),25.8
"합계","광진구",고등학교,학생수 (명),소계,7305
"합계","광진구",고등학교,학급현황,학급수 (학급),280
"합계","광진구",고등학교,학급현황,학급당학생수 (명),26.1
"합계","동대문구",유치원,원아수 (명),소계,2596
"합계","동대문구",유치원,학급현황,학급수 (학급),135
"합계","동대문구",유치원,학급현황,학급당원아수 (명),19.2
"합계","동대문구",초등학교,학생수 (명),소계,12792
"합계","동대문구",초등학교,학급현황,학급수 (학급),596
"합계","동대문구",초등학교,학급현황,학급당학생수 (명),21.5
"합계","동대문구",중학교,학생수 (명),소계,6534
"합계","동대문구",중학교,학급현황,학급수 (학급),279
"합계","동대문구",중학교,학급현황,학급당학생수 (명),23.4
"합계","동대문구",고등학교,학생수 (명),소계,6656
"합계","동대문구",고등학교,학급현황,학급수 (학급),289
"합계","동대문구",고등학교,학급현황,학급당학생수 (명),23.0
"합계","중랑구",유치원,원아수 (명),소계,2658
"합계","중랑구",유치원,학급현황,학급수 (학급),158
"합계","중랑구",유치원,학급현황,학급당원아수 (명),16.8
"합계","중랑구",초등학교,학생수 (명),소계,13862
"합계","중랑구",초등학교,학급현황,학급수 (학급),689
"합계","중랑구",초등학교,학급현황,학급당학생수 (명),20.1
"합계","중랑구",중학교,학생수 (명),소계,6660
"합계","중랑구",중학교,학급현황,학급수 (학급),292
"합계","중랑구",중학교,학급현황,학급당학생수 (명),22.8
"합계","중랑구",고등학교,학생수 (명),소계,5896
"합계","중랑구",고등학교,학급현황,학급수 (학급),266
"합계","중랑구",고등학교,학급현황,학급당학생수 (명),22.2
"합계","성북구",유치원,원아수 (명),소계,4208
"합계","성북구",유치원,학급현황,학급수 (학급),217
"합계","성북구",유치원,학급현황,학급당원아수 (명),19.4
"합계","성북구",초등학교,학생수 (명),소계,19628
"합계","성북구",초등학교,학급현황,학급수 (학급),883
"합계","성북구",초등학교,학급현황,학급당학생수 (명),22.2
"합계","성북구",중학교,학생수 (명),소계,9510
"합계","성북구",중학교,학급현황,학급수 (학급),395
"합계","성북구",중학교,학급현황,학급당학생수 (명),24.1
"합계","성북구",고등학교,학생수 (명),소계,8013
"합계","성북구",고등학교,학급현황,학급수 (학급),344
"합계","성북구",고등학교,학급현황,학급당학생수 (명),23.3
"합계","강북구",유치원,원아수 (명),소계,1199
"합계","강북구",유치원,학급현황,학급수 (학급),79
"합계","강북구",유치원,학급현황,학급당원아수 (명),15.2
"합계","강북구",초등학교,학생수 (명),소계,9412
"합계","강북구",초등학교,학급현황,학급수 (학급),447
"합계","강북구",초등학교,학급현황,학급당학생수 (명),21.1
"합계","강북구",중학교,학생수 (명),소계,6047
"합계","강북구",중학교,학급현황,학급수 (학급),244
"합계","강북구",중학교,학급현황,학급당학생수 (명),24.8
"합계","강북구",고등학교,학생수 (명),소계,5238
"합계","강북구",고등학교,학급현황,학급수 (학급),210
"합계","강북구",고등학교,학급현황,학급당학생수 (명),24.9
"합계","도봉구",유치원,원아수 (명),소계,2115
"합계","도봉구",유치원,학급현황,학급수 (학급),114
"합계","도봉구",유치원,학급현황,학급당원아수 (명),18.6
"합계","도봉구",초등학교,학생수 (명),소계,13952
"합계","도봉구",초등학교,학급현황,학급수 (학급),675
"합계","도봉구",초등학교,학급현황,학급당학생수 (명),20.7
"합계","도봉구",중학교,학생수 (명),소계,6437
"합계","도봉구",중학교,학급현황,학급수 (학급),282
"합계","도봉구",중학교,학급현황,학급당학생수 (명),22.8
"합계","도봉구",고등학교,학생수 (명),소계,6336
"합계","도봉구",고등학교,학급현황,학급수 (학급),285
"합계","도봉구",고등학교,학급현황,학급당학생수 (명),22.2
"합계","노원구",유치원,원아수 (명),소계,5466
"합계","노원구",유치원,학급현황,학급수 (학급),290
"합계","노원구",유치원,학급현황,학급당원아수 (명),18.8
"합계","노원구",초등학교,학생수 (명),소계,24692
"합계","노원구",초등학교,학급현황,학급수 (학급),1177
"합계","노원구",초등학교,학급현황,학급당학생수 (명),21.0
"합계","노원구",중학교,학생수 (명),소계,15213
"합계","노원구",중학교,학급현황,학급수 (학급),631
"합계","노원구",중학교,학급현황,학급당학생수 (명),24.1
"합계","노원구",고등학교,학생수 (명),소계,19136
"합계","노원구",고등학교,학급현황,학급수 (학급),839
"합계","노원구",고등학교,학급현황,학급당학생수 (명),22.8
